iter	Passed	Remaining
410	3336	4781
411	3343	4772
412	3351	4763
413	3358	4753
414	3365	4744
415	3372	4734
416	3380	4725
417	3387	4716
418	3394	4706
419	3401	4697
420	3409	4688
421	3416	4679
422	3423	4670
423	3431	4661
424	3438	4652
425	3445	4642
426	3452	4633
427	3459	4624
428	3467	4614
429	3471	4601
430	3479	4592
431	3486	4584
432	3494	4575
433	3502	4567
434	3509	4557
435	3516	4549
436	3524	4540
437	3532	4532
438	3539	4523
439	3548	4516
440	3555	4506
441	3562	4498
442	3570	4489
443	3577	4480
444	3585	4471
445	3592	4462
446	3599	4453
447	3607	4444
448	3614	4435
449	3621	4426
450	3629	4417
451	3636	4408
452	3643	4399
453	3650	4390
454	3657	4381
455	3664	4372
456	3672	4363
457	3679	4354
458	3687	4346
459	3695	4338
460	3702	4329
461	3710	4320
462	3717	4311
463	3724	4302
464	3731	4293
465	3739	4284
466	3746	4276
467	3754	4267
468	3761	4258
469	3768	4249
470	3776	4241
471	3783	4232
472	3790	4223
473	3798	4214
474	3805	4206
475	3812	4197
476	3820	4188
477	3827	4179
478	3834	4170
479	3841	4161
480	3848	4152
481	3855	4143
482	3863	4135
483	3870	4126
484	3877	4117
485	3885	4108
486	3892	4100
487	3899	4091
488	3907	4082
489	3914	4073
490	3921	4065
491	3928	4056
492	3945	4057
493	3960	4056
494	3974	4055
495	3989	4054
496	4004	4053
497	4019	4051
498	4035	4051
499	4049	4049
500	4065	4048
501	4081	4049
502	4097	4048
503	4112	4047
504	4128	4046
505	4144	4046
506	4159	4044
507	4174	4043
508	4189	4041
509	4203	4039
510	4218	4037
511	4233	4034
512	4248	4033
513	4265	4032
514	4279	4030
515	4295	4028
516	4309	4026
517	4324	4024
518	4339	4021
519	4354	4019
520	4364	4012
521	4378	4009
522	4393	4006
523	4408	4005
524	4424	4002
525	4438	3999
526	4454	3998
527	4469	3995
528	4485	3993
529	4501	3991
530	4516	3989
531	4533	3987
532	4549	3986
533	4565	3984
534	4580	3981
535	4596	3978
536	4610	3975
537	4625	3971
538	4639	3968
539	4654	3964
540	4669	3961
541	4683	3958
542	4699	3955
543	4714	3951
544	4753	3968
545	4769	3965
546	4783	3961
547	4799	3958
548	4813	3954
549	4828	3950
550	4843	3947
