iter	MultiLogloss
257	0.3132013408
258	0.312990235
259	0.3127953216
260	0.3126628416
261	0.3125708663
262	0.3124219746
263	0.3122932353
264	0.3121089462
265	0.3118215542
266	0.3116648393
267	0.3116285904
268	0.3113834573
269	0.3109976439
270	0.3108968105
271	0.3105185726
272	0.310336131
273	0.310264039
274	0.3099841335
275	0.309829602
276	0.3097253236
277	0.3095932312
278	0.3093420932
279	0.309331092
280	0.3090490473
281	0.3088086482
282	0.308798425
283	0.3085791277
284	0.3085295569
285	0.3084166655
286	0.3083235761
287	0.3079090975
288	0.3077732038
289	0.3075539988
290	0.307466542
291	0.307458292
292	0.3071651745
293	0.306965067
294	0.3067276172
295	0.3066712462
296	0.3064024574
297	0.3061597191
298	0.3060465801
299	0.3058930555
300	0.3055848647
301	0.3053261586
302	0.3052840806
303	0.3051843525
304	0.3047906538
305	0.3045518207
306	0.304539489
307	0.3044704723
308	0.3041935295
309	0.3040532727
310	0.303716134
311	0.3033910036
312	0.3032330292
313	0.3031824712
314	0.3031289936
315	0.3028444031
316	0.3023655166
317	0.3023010604
318	0.3021624002
319	0.3018378067
320	0.3015860268
321	0.3013774783
322	0.3012282925
323	0.3009390177
324	0.3006793841
325	0.3005586668
326	0.3005097822
327	0.300163041
328	0.2998664845
329	0.2998595886
330	0.2997850828
331	0.2995680025
332	0.2992105532
333	0.298754726
334	0.2986232581
335	0.2983065964
336	0.298252999
337	0.2978584771
338	0.2976030801
339	0.2973494141
340	0.2973031538
341	0.2972446788
342	0.2971864875
343	0.2969732891
344	0.2967664104
345	0.2965229352
346	0.2962558822
347	0.2961027147
348	0.2958065513
349	0.2956802891
350	0.2956742151
351	0.2955311158
352	0.2954673321
353	0.2952072184
354	0.2951299313
355	0.294957608
356	0.2947699072
357	0.2945738455
358	0.2945261616
359	0.2942544829
360	0.2941451326
361	0.2938450411
362	0.2936455818
363	0.293486425
364	0.2933172954
365	0.2931827533
366	0.2927872804
367	0.2925216272
368	0.2924175953
369	0.2923822251
370	0.292067452
371	0.2917790807
372	0.2916516025
373	0.2914599461
374	0.2913198715
375	0.2910953765
376	0.2910197436
377	0.2907697915
378	0.290525014
379	0.2903772197
380	0.2902345194
381	0.2901271613
382	0.2899341084
383	0.2896306208
384	0.2894877332
385	0.2893744468
386	0.2890019359
387	0.2889687622
388	0.2887068709
389	0.2886415939
390	0.2884052503
391	0.2879598743
392	0.287784193
393	0.2874372587
394	0.2873065384
395	0.2872389839
396	0.2872221318
397	0.2869221323
398	0.2868583027
399	0.2867179667
400	0.2863347478
401	0.2860897973
402	0.286009246
403	0.2858560936
404	0.2856064874
405	0.2853494945
406	0.2852062492
407	0.2850324194
408	0.2849157402
409	0.2847435472
410	0.2846219883
411	0.2845132224
412	0.2841846266
413	0.2840190686
414	0.2840058233
415	0.2839182376
416	0.2836061118
417	0.2835712971
418	0.283276825
419	0.2830508745
420	0.2829596253
421	0.282914684
422	0.2827496845
423	0.2824051831
424	0.2822024922
425	0.2819018321
426	0.2817389331
427	0.2815837211
428	0.2814264475
429	0.2814191143
430	0.2812386688
431	0.2810199728
432	0.2808104412
433	0.2807172902
434	0.2806325588
435	0.2804638618
436	0.2803503753
437	0.280123138
438	0.2800859292
439	0.2799193949
440	0.2798078686
441	0.2796759436
442	0.2794420585
443	0.2791840389
444	0.2791084048
445	0.2789399743
446	0.2787555606
447	0.278637989
448	0.2784903066
449	0.2783208002
450	0.2780590404
451	0.277868337
452	0.2775811358
453	0.2773848597
454	0.2770826918
455	0.2769969958
456	0.2769337316
457	0.2766625878
458	0.2765938575
459	0.2764397258
460	0.2763042133
461	0.2761612191
462	0.2760952026
463	0.2758908417
464	0.2757487987
465	0.2756552559
466	0.2754788215
467	0.2754658852
468	0.2754047701
469	0.2752150646
470	0.2750366988
471	0.2746133966
472	0.274499886
473	0.2742753726
474	0.2740232252
475	0.2739714233
476	0.2739380656
477	0.2738316246
478	0.2736541829
479	0.2735582334
480	0.2732455293
481	0.2730434741
482	0.2729154746
483	0.2728638821
484	0.2725688868
485	0.2723873355
486	0.2722087074
487	0.2720570977
488	0.2716359528
489	0.2714034485
490	0.2713763169
491	0.2711488703
492	0.2710688377
493	0.2709219014
494	0.2709158879
495	0.2707233015
496	0.2707186232
497	0.2705986401
498	0.2704393441
499	0.2704056883
500	0.270289211
501	0.2700277321
502	0.2699101389
503	0.2698253769
504	0.269684524
505	0.269628529
506	0.2694018183
507	0.2692962548
508	0.2690949323
509	0.2690418453
510	0.2690415827
511	0.2688039411
512	0.2686063828
513	0.2685639796
514	0.2681821967
515	0.2679422305
516	0.2677617528
517	0.2677005751
518	0.2676950439
519	0.2676767996
520	0.2676636159
521	0.2674054451
522	0.2674020496
523	0.2672462861
524	0.2670377893
525	0.2668535166
526	0.2668398381
527	0.2668278338
528	0.2666738407
529	0.2665996742
530	0.266476427
531	0.2664522484
532	0.2664051817
533	0.2662296248
534	0.2662293118
535	0.2660136118
536	0.2659008707
537	0.2658316022
538	0.2657051706
539	0.2654623613
540	0.2653382894
541	0.2652222401
542	0.2652155988
543	0.2649427663
544	0.2647969169
545	0.2647061028
546	0.2644772361
547	0.2642239902
548	0.2640832531
549	0.2638560566
550	0.2637162497
551	0.2636579567
552	0.263529566
553	0.2632724695
554	0.2631216913
555	0.2628728832
556	0.2628495825
557	0.2626187097
558	0.2626053891
559	0.2625020081
560	0.2624434356
561	0.2624107759
562	0.2622824729
563	0.2620782204
564	0.2619357337
565	0.2618403283
566	0.2615389993
567	0.2613815363
568	0.261271602
569	0.261107817
570	0.2607296433
571	0.2605249825
572	0.2604655623
573	0.2604591418
574	0.2602003911
575	0.2600992044
576	0.2598029498
577	0.2596502795
578	0.2594240168
579	0.2593280913
580	0.2592282541
581	0.2590497203
582	0.2589172138
583	0.2586834137
584	0.2584079494
585	0.2581333022
586	0.2580961016
587	0.2580774046
588	0.2579124698
589	0.2576870434
590	0.2573706429
591	0.2571525802
592	0.2570784684
593	0.2570707626
594	0.2569283319
595	0.2565417261
596	0.256365435
597	0.2561583326
598	0.2560716358
599	0.2558952311
600	0.255630506
601	0.2555387325
602	0.2555351438
603	0.2553393929
604	0.2552477639
605	0.2552471803
606	0.255087101
607	0.2548952465
608	0.2546964797
609	0.2545046962
610	0.2544559137
611	0.2542260685
612	0.2542112582
613	0.2541806467
614	0.253932176
615	0.2537923908
616	0.253777581
617	0.2533921429
618	0.2531376415
619	0.2530548364
620	0.2528928099
621	0.252742652
622	0.2525863044
623	0.2524532486
624	0.2524153172
625	0.2521755063
626	0.2518526079
627	0.2516453405
628	0.2515943137
629	0.2513007671
630	0.2509439894
631	0.25089593
632	0.2507982825
633	0.2507915243
634	0.2506329396
635	0.2504007713
636	0.2503242799
637	0.2502143312
638	0.2501642219
639	0.2499971042
640	0.2497565864
641	0.2493955174
642	0.2493560839
643	0.2493016675
644	0.2489827512
645	0.2487647777
646	0.2486777493
647	0.2484562481
648	0.2483620854
649	0.2482309645
650	0.2480191018
651	0.2479191099
652	0.2477544763
653	0.2477444419
654	0.2475474542
655	0.2473774005
656	0.2471548252
657	0.2469409147
658	0.2468579047
659	0.2467103036
660	0.2465575372
661	0.2463659698
662	0.2461954095
663	0.2459939202
664	0.2458794217
665	0.2457016698
666	0.2456828807
667	0.2454737447
668	0.2452825539
669	0.2449293831
670	0.2447899765
671	0.2446870935
672	0.2444199732
673	0.2442908076
674	0.2441801649
675	0.244119838
676	0.2439659029
677	0.2437891407
678	0.2436862114
679	0.243674371
680	0.2434923675
681	0.2433972868
682	0.2432723101
683	0.2432179819
684	0.2431282966
685	0.2428596572
686	0.2427932506
687	0.2426391009
688	0.242479895
689	0.2421249851
690	0.2418846584
691	0.2416369026
692	0.2415446829
693	0.2414864877
694	0.2414218304
695	0.2414124268
696	0.2413635471
697	0.2409015273
698	0.2407457614
699	0.2405405009
700	0.2403038648
701	0.2401797043
702	0.2400813556
703	0.2399499279
704	0.2396538676
705	0.2395522306
706	0.2393383758
707	0.2391721762
708	0.2389729869
709	0.2387196867
710	0.2384692897
711	0.2383943044
712	0.2381456629
713	0.2378209627
714	0.2375032277
715	0.2373291137
716	0.2369878608
717	0.2367146048
718	0.2366362181
719	0.2365331421
720	0.2362118231
721	0.2358652334
722	0.2357292449
723	0.235623058
724	0.2353879254
725	0.235066146
726	0.2347033378
727	0.2344995079
728	0.2342218334
729	0.2340070563
730	0.2338448973
731	0.2336220126
732	0.2334881301
733	0.2333321778
734	0.2332759229
735	0.2329856276
736	0.2328257618
737	0.2326293166
738	0.2324672388
739	0.2323935134
740	0.2322274703
741	0.232056431
742	0.2318920063
743	0.2316443777
744	0.2315056136
745	0.2312940771
746	0.2312509503
747	0.2309366975
748	0.2306181559
749	0.230414768
750	0.2301602847
751	0.2300122727
752	0.2297230592
753	0.2295726455
754	0.2292992161
755	0.2291612647
756	0.2290597156
757	0.2288851174
758	0.2287270957
759	0.2286012033
760	0.2285830224
761	0.2283533956
762	0.2281088236
763	0.2279956863
764	0.2278676443
765	0.2276467178
766	0.2274944327
767	0.2272668224
768	0.2271609456
769	0.2270560924
770	0.2270234292
771	0.2267096749
772	0.2266203866
773	0.2263847181
774	0.2262094169
775	0.2261887929
776	0.2260200239
777	0.2259534164
778	0.2258364546
779	0.2257337065
780	0.2255333431
781	0.2254134661
782	0.2251572451
783	0.2249434991
784	0.2248405099
785	0.2247826029
786	0.2245443757
787	0.2242108986
788	0.2240819033
789	0.2239476051
790	0.2238195255
791	0.2236866598
792	0.2236791867
793	0.2233758259
794	0.2230916745
795	0.2228302875
796	0.2226837868
797	0.222482461
798	0.2221805832
799	0.2221186308
800	0.2218297764
801	0.2217417763
802	0.2215527993
803	0.2214273463
804	0.2211502285
805	0.2210569749
806	0.2208132382
807	0.2207256804
808	0.2206404722
809	0.2204422057
810	0.2203317706
811	0.2202266543
812	0.2200058665
813	0.2197719894
814	0.21963931
815	0.2194481
816	0.219209245
817	0.2191555372
818	0.2190436754
819	0.2188924349
820	0.2188710413
821	0.2188343824
822	0.2187681996
823	0.2186514623
824	0.2183902134
825	0.218331139
826	0.218196666
827	0.2180307101
828	0.217849715
829	0.2176955408
830	0.2174149431
831	0.2172979097
832	0.2170460855
833	0.2168173564
834	0.2164686691
835	0.2162705959
836	0.2162222048
837	0.2161098185
838	0.2159551162
839	0.2157526212
840	0.2156378137
841	0.2155006205
842	0.2154168072
843	0.215093917
844	0.2149680466
845	0.2147331191
846	0.2146268695
847	0.2145119893
848	0.2143368511
849	0.2143325396
850	0.2140960104
851	0.2139522004
852	0.2137757457
853	0.213481393
854	0.2132489467
855	0.2129910655
856	0.2127983675
857	0.2126065489
858	0.2124149775
859	0.2123999454
860	0.2123210421
861	0.2121207256
862	0.2120310516
863	0.2119010608
864	0.2117082871
865	0.2114932277
866	0.211464352
867	0.2111275338
868	0.2110285434
869	0.2109177242
870	0.2107744469
871	0.2105992464
872	0.2104194896
873	0.2102651482
874	0.2099915526
875	0.2097456495
876	0.2095863379
877	0.209373436
878	0.2091265843
879	0.2089378328
880	0.2085949339
881	0.2084590522
882	0.2082690546
883	0.2080909902
884	0.2079447411
885	0.2077162913
886	0.2075716655
887	0.2074216894
888	0.2073262735
889	0.2072278057
890	0.2069439552
891	0.2066834286
892	0.206494055
893	0.206351575
894	0.2062123542
895	0.2060969797
896	0.2058371216
897	0.2058290627
898	0.205814822
899	0.2056905438
900	0.2054136066
901	0.2052155477
902	0.2049966297
903	0.2047584879
904	0.2045316389
905	0.2042996521
906	0.2042751753
907	0.2042645685
908	0.2040555964
909	0.2038356848
910	0.203724262
911	0.2035529965
912	0.2034680768
913	0.2032580672
914	0.2031433203
915	0.2030409164
916	0.2028846121
917	0.2026474876
918	0.202627926
919	0.2025926451
920	0.2024121669
921	0.2022473497
922	0.202019558
923	0.2019296827
924	0.2017678166
925	0.2017330134
926	0.2016479815
927	0.2016143828
928	0.201406462
929	0.2013358369
930	0.2011845439
931	0.2010434021
932	0.2008165233
933	0.2006183132
934	0.2004370773
935	0.2002576986
936	0.2002102423
937	0.2001391124
938	0.1999263076
939	0.1997737659
940	0.1996707674
941	0.1996465965
942	0.1992839425
943	0.1990679382
944	0.1987259213
945	0.1985893318
946	0.1984595905
947	0.1982620353
948	0.1980955652
949	0.1979835011
950	0.1978836811
951	0.1978063957
952	0.1977742772
953	0.197551307
954	0.1974290769
955	0.1973046874
956	0.197048159
957	0.1968103309
958	0.1965409305
959	0.1963622197
960	0.196283343
961	0.1960669741
962	0.1958549726
963	0.1957727512
964	0.1955900069
965	0.195558067
966	0.1954810894
967	0.1953167119
968	0.1953029296
969	0.1952592985
970	0.195033922
971	0.1949218646
972	0.1946724574
973	0.1944420669
974	0.1942955023
975	0.1941510599
976	0.1939347623
977	0.1938127164
978	0.1937194886
979	0.1936183729
980	0.1934575015
981	0.1932561228
982	0.1930908272
983	0.1929660593
984	0.1929500723
985	0.19288265
986	0.1927610959
987	0.1927515132
988	0.1926000202
989	0.1925434175
990	0.1924129439
991	0.1922624534
992	0.1920555535
993	0.1919768709
994	0.1918000341
995	0.1916067219
996	0.1914420956
997	0.1912455126
998	0.1911555339
999	0.1911283962
